"tablet.id","signs.orig.vec","signs.expand.vec","num.char"
"P000846","1(N01) _ 1(N01) _ ZATU753 _ EN~b _ 1(N01) _ ZATU644~b","N01 _ N01 _ ZATU753 _ EN~b _ N01 _ ZATU644~b",11
"P000849","4(N01) _ ME~a _ EN~b _ LAGAR~b1 _ 2(N01) _ ME~a _ UDU~a# _ ZATU640 _ 2(N01) _ ME~a _ ZATU621~b# _ 1(N01)# _ 1(N01)#","N01 N01 N01 N01 _ ME~a _ EN~b _ LAGAR~b1 _ N01 N01 _ ME~a _ UDU~a _ ZATU640 _ N01 N01 _ ME~a _ ZATU621~b _ N01 _ N01",30
"P000961","|ZATU737xEN~a|# _ 4(N01) _ SAG _ 6(N01) _ U8# _ 2(N01)# _ 3(N01)# _ EN~a _ 1(N01) _ NUN~c# _ 2(N14)# _ 1(N01)# _ GISZIMMAR~a1 _ GUKKAL~b#","|ZATU737xEN~a| _ N01 N01 N01 N01 _ SAG _ N01 N01 N01 N01 N01 N01 _ U8 _ N01 N01 _ N01 N01 N01 _ EN~a _ N01 _ NUN~c _ N14 N14 _ N01 _ GISZIMMAR~a1 _ GUKKAL~b",39
"P000963","1(N14)# _ 3(N01)# _ PAP~a# _ NUN~a _ 3(N34)# _ |SAGxGESZTU~a|# _ 1(N34) _ 3(N14)# _ 2(N51) _ 3(N14)# _ 5(N01)#","N14 _ N01 N01 N01 _ PAP~a _ NUN~a _ N34 N34 N34 _ |SAGxGESZTU~a| _ N34 _ N14 N14 N14 _ N51 N51 _ N14 N14 N14 _ N01 N01 N01 N01 N01",34
"P000854","3(N01) _ DUG~c","N01 N01 N01 _ DUG~c",5
"P000965","1(N14) _ NESAG2~a _ 1(N58)@t _ 1(N14) _ NUN~c _ 4(N01) _ SZITA~a3 _ KUSZU2~a _ ZATU701 _ GA2~b# _ DUB~b _ ERIN# _ SZIR~b","N14 _ NESAG2~a _ 1(N58)@t _ N14 _ NUN~c _ N01 N01 N01 N01 _ SZITA~a3 _ KUSZU2~a _ ZATU701 _ GA2~b _ DUB~b _ ERIN _ SZIR~b",28
"P000967","1(N01)# _ BU~a _ KISAL~b1 _ GURUSZ~b#","N01 _ BU~a _ KISAL~b1 _ GURUSZ~b",7
"P000865","1(N01)# _ 1(N01) _ BAR","N01 _ N01 _ BAR",5
"P000969","1(N14) _ 5(N01) _ SZITA~a1 _ 1(N01)#","N14 _ N01 N01 N01 N01 N01 _ SZITA~a1 _ N01",11
"P000867","9(N01)# _ ZATU662 _ ZATU644~a _ 1(N34) _ 5(N01)#","N01 N01 N01 N01 N01 N01 N01 N01 N01 _ ZATU662 _ ZATU644~a _ N34 _ N01 N01 N01 N01 N01",21
"P000882","4(N01)# _ DUG~c# _ SZITA~a1 _ 3(N01) _ SZITA~a1 _ ZATU713","N01 N01 N01 N01 _ DUG~c _ SZITA~a1 _ N01 N01 N01 _ SZITA~a1 _ ZATU713",16
"P000885","1(N01) _ SZU2 _ DUB~b _ ZATU680~e _ 1(N01) _ GISZIMMAR~b3 _ SZU2# _ 2(N01) _ 1(N01)# _ DUB~b#","N01 _ SZU2 _ DUB~b _ ZATU680~e _ N01 _ GISZIMMAR~b3 _ SZU2 _ N01 N01 _ N01 _ DUB~b",20
"P000983","2(N48)# _ 1(N34)# _ 1(N14)# _ 5(N01)# _ ZATU651# _ 1(N01)# _ IB~a#","N48 N48 _ N34 _ N14 _ N01 N01 N01 N01 N01 _ ZATU651 _ N01 _ IB~a",18
"P000887","BALAG _ 2(N01) _ SZE~a _ NUN~c","BALAG _ N01 N01 _ SZE~a _ NUN~c",8
"P000898","3(N01)#","N01 N01 N01",3
"P000995","9(N01)# _ SIG2~b# _ EN~a _ 1(N14) _ 4(N01) _ TUG2~a# _ EN~a# _ 2(N01)# _ 1(N01)# _ 1(N14)#","N01 N01 N01 N01 N01 N01 N01 N01 N01 _ SIG2~b _ EN~a _ N14 _ N01 N01 N01 N01 _ TUG2~a _ EN~a _ N01 N01 _ N01 _ N14",31
"P000996","5(N51)# _ 1(N26) _ 5(N34)# _ ZATU664 _ 4(N52)# _ 5(N34)# _ 3(N14)#","N51 N51 N51 N51 N51 _ N26 _ N34 N34 N34 N34 N34 _ ZATU664 _ N52 N52 N52 N52 _ N34 N34 N34 N34 N34 _ N14 N14 N14",30
"P000998","1(N01) _ KISAL~a1# _ 1(N01) _ SI4~a _ KU6~a _ 1(N01) _ KISAL~a1 _ UNUG~a _ 1(N01) _ SI4~a _ 1(N01) _ KISAL~a1 _ 1(N01) _ SI4~a _ KASKAL _ 2(N01) _ GI6 _ 1(N01) _ ERIM~a _ 1(N01) _ ZATU623 _ 1(N14) _ ADAB _ |DUG~b&(DUG~bx1(N58))|","N01 _ KISAL~a1 _ N01 _ SI4~a _ KU6~a _ N01 _ KISAL~a1 _ UNUG~a _ N01 _ SI4~a _ N01 _ KISAL~a1 _ N01 _ SI4~a _ KASKAL _ N01 N01 _ GI6 _ N01 _ ERIM~a _ N01 _ ZATU623 _ N14 _ ADAB _ |DUG~b&(DUG~bx1(N58))|",48
"P000999","GURUSZ~b _ 1(N01)# _ 1(N01)# _ EN~a# _ 1(N01)# _ 1(N01) _ SUKUD _ EN~b","GURUSZ~b _ N01 _ N01 _ EN~a _ N01 _ N01 _ SUKUD _ EN~b",15
"P001002","3(N01)# _ 4(N57)# _ 1(N01)# _ 2(N01)# _ 5(N01)# _ 8(N01)# _ 2(N01)# _ 4(N01)# _ 1(N14)# _ 1(N14)# _ 3(N01)# _ KU6~a# _ KU6~a# _ 1(N14)# _ 2(N01)# _ 3(N01)# _ ERIM~a# _ 4(N01)# _ UMBIN~a# _ 5(N01)# _ GURUSZ~a# _ 9(N01)# _ 1(N01)#","N01 N01 N01 _ N57 N57 N57 N57 _ N01 _ N01 N01 _ N01 N01 N01 N01 N01 _ N01 N01 N01 N01 N01 N01 N01 N01 _ N01 N01 _ N01 N01 N01 N01 _ N14 _ N14 _ N01 N01 N01 _ KU6~a _ KU6~a _ N14 _ N01 N01 _ N01 N01 N01 _ ERIM~a _ N01 N01 N01 N01 _ UMBIN~a _ N01 N01 N01 N01 N01 _ GURUSZ~a _ N01 N01 N01 N01 N01 N01 N01 N01 N01 _ N01",86
"P001003","1(N34)# _ GA2~b# _ 1(N34) _ ZATU758# _ 1(N34) _ ERIN _ 3(N14)# _ 3(N14)# _ 8(N01)# _ 5(N01)# _ 1(N14)#","N34 _ GA2~b _ N34 _ ZATU758 _ N34 _ ERIN _ N14 N14 N14 _ N14 N14 N14 _ N01 N01 N01 N01 N01 N01 N01 N01 _ N01 N01 N01 N01 N01 _ N14",36
